id	name_eng	titolo_eng	name_ita	desc_ita
53	Channel	Complete system for the detection, amplification and display of potential differences between a pair of electrodes, or a computed reference (for example common average reference). Digital EEG machines simulate a multichannel display by tracing several voltage time plots on a visual display.	Canale	Sistema completo per il rilevamento, l'amplificazione e la visualizzazione delle differenze di potenziale tra una coppia di elettrodi o tra un elettrodo e una referenza calcolata (per esempio la referenza media comune). Le macchine EEG digitali simulano una visualizzazione multicanale tracciando diversi diagrammi temporali di voltaggio su un display visivo.
54	Circumferential bipolar montage	A montage consisting of linked bipolar derivations encircling the head. Commonly bilateral longitudinal temporal electrode chains are linked together.	Montaggio bipolare circonferenziale	Un montaggio costituito da derivazioni bipolari interconnesse che circondano lo scalpo. Comunemente vengono collegate tra loro le catene di elettrodi longitudinali temporali dei due lati.
55	Clipping	Distortion of the recorded signal which makes it appear flat-topped in the display, caused by excess output voltage overloading the amplifiers (see blocking).	Clipping	Distorsione del segnale registrato che ne determina un appiattimento sul display; causata da un eccesso di tensione di uscita che sovraccarica gli amplificatori (vedi blocco).
56	Closely spaced electrodes	Additional scalp electrode placed at a shorter distance than that specified by the International ten-twenty system (for example see the ten-ten system).	Elettrodi ravvicinati	Elettrodo da scalpo supplementare posto a una distanza inferiore a quella specificata dal sistema internazionale dieci-venti (per esempio vedi il sistema dieci-dieci).
57	Common average reference	Computational average potential of all or most electrode signals used as a reference electrode. Synonyms: average (potential) reference and Goldman-Offner electrode (use of terms discouraged). (See reference electrode, Laplacian montage).	Referenza media comune	Potenziale medio calcolato su tutti o sulla maggior parte dei segnali degli elettrodi, usato come referenza. Sinonimi: referenza media (di potenziale) ed elettrodo di Goldman-Offner (l'uso dei termini è sconsigliato). (Vedi elettrodo di referenza, montaggio laplaciano).
58	Common EEG input test	Procedure in which the same pair of EEG electrodes is connected to the two input terminals of all channels of the electroencephalograph. Comment: used as adjunct to calibration procedure (see calibration). Synonym: biological calibration.	Test di ingresso EEG comune	Procedura in cui la stessa coppia di elettrodi EEG è collegata ai due terminali di ingresso di tutti i canali dell'elettroencefalografo. Commento: usato come aggiunta alla procedura di calibrazione (vedi calibrazione). Sinonimo: calibrazione biologica.
59	Common mode rejection	A characteristic of differential amplifiers whereby they provide markedly reduced amplification of common mode signals, compared to differential signals. Expressed as common mode rejection ratio (CMRR), i.e. ratio of amplifications of differential and common mode signals. Example:amplification,differential/amplification,commonmode=100,000/1=100,000:1	Reiezione a modo comune	Una caratteristica degli amplificatori differenziali per la quale questi riducono l'ampiezza dei segnali a modo comune, rispetto ai segnali differenziali. Viene espressa come rapporto di reiezione a modo comune (CMRR, common mode rejection ratio), cioè il rapporto delle amplificazioni dei segnali differenziali e a modo comune. Esempio:amplificazione,differenziale/amplificazione,modocomune=100.000/1=100.000:1
60	Common mode signal	Common component of the two signals applied to the two input terminals of a differential EEG amplifier. Comment: in EEG recording, external capacitive interference frequently occurs as a common mode signal.	Segnale a modo comune	Componente comune di due segnali applicati ai due terminali d'ingresso di un amplificatore EEG differenziale. Commento: nella registrazione EEG, l'interferenza capacitiva esterna si presenta spesso come segnale a modo comune.
61	Common reference electrode	A reference electrode that is common to all channels.	Elettrodo di referenza comune	Un elettrodo di referenza comune a tutti i canali.
62	Common reference montage	A montage in which each of the channels have the same reference electrode (see channel, referential derivation, reference electrode).	Montaggio con referenza comune	Un montaggio in cui ognuno dei canali ha lo stesso elettrodo di riferimento (vedi canale, derivazione referenziale, elettrodo di riferimento).
63	Complex	A sequence of two or more waveforms having a characteristic composite morphology; and when recurring are seen with a fairly consistent form, distinguished from background activity. (For example see spike-and-slow-wave complex).	Complesso	Una sequenza di due o più grafoelementi che hanno una morfologia composta in maniera caratteristica; quando ricorrono sono visibili con una forma relativamente riproducibile e appaiono distinte dall'attività di fondo (per esempio vedi complesso di punta-onda-lenta).
64	Contingent negative variation (CNV)	An event-related slow negative potential elicited in the interval between a conditional stimulus and an associated contingent second ‘imperative’ stimulus, to which the subject is required to make a voluntary response. It comprises a progressive negative-going change maximal at the vertex, which requires special recording techniques so not seen in conventional EEG recording. Synonym: “expectancy wave”. (See event-related potential).	Variazione negativa contingente (CNV, contingent negative variation)	Un potenziale negativo lento evento-correlato elicitato nell'intervallo tra uno stimolo condizionante e un secondo stimolo condizionato “imperativo” associato, al quale il soggetto è tenuto a dare una risposta volontaria. È costituito da una modificazione progressiva in polarità negativa, massima al vertice, che richiede tecniche di registrazione speciali e non si vede nella registrazione EEG convenzionale. Sinonimo: “onda di attesa”. (Vedi potenziale evento-correlato).
65	Continuous EEG (cEEG)	Prolonged EEG recording and often analysis for monitoring of electrical brain activity. Data may be collected with analog or digital systems, the latter enabling post-acquisition processing with a number of quantitative EEG techniques. cEEG is generally practiced in the intensive care unit with application varying according to the clinical situation: monitoring the EEG as a surrogate of cerebral metabolism (to detect hypoxia or ischemia), nonconvulsive seizures or status epilepticus, and to monitor the effects of treatment. The aim is to detect EEG changes when the cerebral dysfunction is reversible. There have been recommendations that cEEG is used to improve prognostication of coma after cardiac arrest. (See quantitative EEG).	EEG continuo (cEEG, continuous EEG)	Registrazione EEG prolungata, spesso accompagnata da analisi EEG, per il monitoraggio dell'attività elettrica cerebrale. I dati possono essere raccolti con sistemi analogici o digitali. Questi ultimi consentono l'elaborazione post-acquisizione con una serie di tecniche EEG quantitative. È generalmente utilizzato nelle unità di terapia intensiva, con applicazioni variabili a seconda del contesto clinico: monitoraggio dell'EEG come surrogato del metabolismo cerebrale (per rilevare ipossia o ischemia), crisi non convulsive o stato epilettico, monitorare gli effetti dei trattamenti. L'obiettivo è quello di rilevare tempestivamente i cambiamenti EEG in caso di disfunzione cerebrale reversibile. Il cEEG è raccomandato per migliorare la valutazione prognostica del coma post arresto cardiaco. (Vedi EEG quantitativo).
66	Continuous slow activity	Uninterrupted ongoing slow activity (theta and delta bands) which may be rhythmic, arrhythmic or polymorphic, which may wax and wane but not regress, and is of variable amplitude and morphology. Typically it is non-responsive to external stimuli and clearly exceeds the amount considered physiologically normal for the patient’s age. (See intermittent slow activity).	Attività lenta continua	Attività lenta ininterrotta e persistente (bande theta e delta) che può essere ritmica, aritmica o polimorfa, può aumentare o diminuire ma non regredire, e di ampiezza e morfologia variabile. Tipicamente non risponde a stimoli esterni e supera chiaramente la quantità di attività lenta considerata fisiologicamente normale per l'età del paziente. (Vedi attività lenta intermittente).
67	Continuous spike and waves during sleep (CSWS)	An epileptic encephalopathy syndrome of electrical status epilepticus during sleep (ESES) associated with neurocognitive dysfunction. Seizures are typically infrequent. Comment: often used interchangeably with electrical status epilepticus during sleep (ESES). Synonyms: encephalopathy with status epilepticus during slow sleep. (See slow wave sleep, electrical status epilepticus during sleep).	Punta-onda continue durante il sonno (CSWS, continuous spike and waves during sleep)	Una sindrome da encefalopatia epilettica con stato epilettico elettrico durante il sonno (ESES, electrical status epilepticus during sleep) associata a disfunzione cognitiva. Le crisi sono tipicamente poco frequenti. Commento: spesso usato in modo intercambiabile con ESES. Sinonimi: encefalopatia con stato epilettico durante il sonno lento. (Vedi sonno ad onde lente, stato epilettico elettrico durante il sonno).
